From Bus  Number,From Bus  Name,To Bus  Number,To Bus  Name,Id,Name,Term Node Num (From),Term Node Name (From),Term Node Num (To),Term Node Name (To),In Service,Metered,Winding 1 Side,Controlled Bus,Controlled Bus Side,Controlled Node Number,Controlled Bus Section,Tap Positions,Control Mode,Auto Adjust,Winding I/O Code,Impedance I/O Code,Admittance I/O Code,Specified R (pu or watts),Specified X (pu),RATE1 (MVA),RATE2 (MVA),RATE3 (MVA),Magnetizing G (pu or watts),Magnetizing B (pu),Owner 1,Fraction 1,Owner 2,Fraction 2,Owner 3,Fraction 3,Owner 4,Fraction 4,Winding  MVA Base,Wnd 1 Ratio  (pu or kV),Wnd 1 Nominal kV,Wnd 1 Angle (degrees),Wnd 2 Ratio  (pu or kV),Wnd 2 Nominal kV,"Rmax (pu, kV, deg)","Rmin (pu, kV, deg)","Vmax (pu, Mvar, MW)","Vmin (pu, Mvar, MW)",Wnd Connect Angle (deg),Load Drop Comp R (pu),Load Drop Comp X (pu),Impedance table,R (table corrected pu or watts),X (table corrected pu),Vector Group,Edit Vector Group,Connection Code,Edit Connection Code,Leakage impedance I/O code,Grounding impedance I/O code,RG1,XG1,R01 (pu),X01 (pu),RG2,XG2,R02 (pu),X02 (pu),RNutrl,XNutrl,RATE4 (MVA),RATE5 (MVA),RATE6 (MVA),RATE7 (MVA),RATE8 (MVA),RATE9 (MVA),RATE10 (MVA),RATE11 (MVA),RATE12 (MVA),Zbase,R (ohm),X (ohm)
17111,LUNA1Q      132.00,17130,LUNA3-      33.000,1,,,,,,1,1,1,17130,0,0,17130,19,Voltage,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.00435,0.25018,90,90,90,0,0,1,1,0,1,0,1,0,1,100,1,0,30,1,0,1.1,0.8,1.03,0.98,0,0,0,0,0.00435,0.25018,,,"6 - No series path, ground winding 1, earth winding 2",,Z pu (system base),Z pu (system base),7,0,0.00398,0.22927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.24,0.6934752,39.9480048
17112,LUNA1R      132.00,17130,LUNA3-      33.000,2,GT1 _4,,,,,1,1,1,17130,0,0,17130,19,Voltage,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.003145,0.296083,120,120,120,0.00017,-0.00022,1,1,0,1,0,1,0,1,120,1,132,30,1,33,1.1,0.8,1.03,0.98,0,0,0,0,0.00314,0.29608,,,"6 - No series path, ground winding 1, earth winding 2",,Z pu (system base),Z pu (system base),6.99,0,0.00279,0.26311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.2,0.405108,38.203572
17132,LUNB3A      33.000,17151,LUNB5J      11.000,1,,,,,,1,0,0,0,0,0,,5,None,0,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.02333,0.2333,30,30,30,0,0,1,1,0,1,0,1,0,1,100,1,11,0,1,33,1.1,0.9,1.1,0.9,0,0,0,0,0.02333,0.2333,,,4 - No series or ground paths,,Z pu (system base),Z pu (system base),0,0,0.02193,0.2193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.89,0.2388177,2.388177
17132,LUNB3A      33.000,17152,LUNB5K      11.000,1,,,,,,1,0,0,0,0,0,,5,None,0,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.02333,0.2333,30,30,30,0,0,1,1,0,1,0,1,0,1,100,1,11,0,1,33,1.1,0.9,1.1,0.9,0,0,0,0,0.02333,0.2333,,,4 - No series or ground paths,,Z pu (system base),Z pu (system base),0,0,0.02193,0.2193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.89,0.2388177,2.388177
17211,LYND1Q      132.00,17230,LYND3-      33.000,1,,,,,,1,1,1,17230,0,0,17230,19,Voltage,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.0078,0.243,60,60,60,0,0,1,1,0,1,0,1,0,1,100,1,0,30,1,0,1.1,0.8,1.03,0.98,0,0,0,0,0.0078,0.243,,,"6 - No series path, ground winding 1, earth winding 2",,Z pu (system base),Z pu (system base),5.37,0,0.01,0.2473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.24,1.7424,43.089552
17212,LYND1R      132.00,17230,LYND3-      33.000,2,,,,,,1,1,1,17230,0,0,17230,19,Voltage,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.0078,0.2473,60,60,60,0,0,1,1,0,1,0,1,0,1,100,1,0,30,1,0,1.1,0.8,1.03,0.98,0,0,0,0,0.0078,0.2473,,,"6 - No series path, ground winding 1, earth winding 2",,Z pu (system base),Z pu (system base),5.01,0,0.01,0.243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.24,1.7424,42.34032
17237,DUNI3-      33.000,17257,DUNI5-      11.000,1,,,,,,1,0,0,0,0,0,,33,None,0,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.012,0.1,60,60,60,0,0,1,1,0,1,0,1,0,1,100,1,0,0,1,0,1.1,0.8,1.03,0.98,0,0,0,0,0.012,0.1,,,4 - No series or ground paths,,Z pu (system base),Z pu (system base),0,0,0.0011,0.05483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.89,0.011979,0.5970987
17311,MACD1Q      132.00,17330,MACD3-      33.000,1,,,,,,1,1,1,17330,0,0,17330,19,Voltage,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.0083,0.1889,90,90,90,0,0,1,1,0,1,0,1,0,1,100,1,0,30,1,0,1.1,0.8,1.03,0.98,0,0,0,0,0.0083,0.1889,,,"6 - No series path, ground winding 1, earth winding 2",,Z pu (system base),Z pu (system base),6.99,0,0.0083,0.1889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.24,1.446192,32.913936
17312,MACD1R      132.00,17330,MACD3-      33.000,2,,,,,,1,1,1,17330,0,0,17330,19,Voltage,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.0083,0.1889,90,90,90,0,0,1,1,0,1,0,1,0,1,100,1,0,30,1,0,1.1,0.8,1.03,0.98,0,0,0,0,0.0083,0.1889,,,"6 - No series path, ground winding 1, earth winding 2",,Z pu (system base),Z pu (system base),6.99,0,0.0083,0.1889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.24,1.446192,32.913936
17339,BOYN3-      33.000,17389,BOYN8W      0.7000,1,,,,,,1,1,1,0,0,0,,19,None,0,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.02,0.24,24,24,24,0,0,1,1,0,1,0,1,0,1,100,1,0,0,1,0,1.1458,0.8459,1.01,0.98,0,0,0,0,0.02,0.24,,,4 - No series or ground paths,,Z pu (system base),Z pu (system base),0,0,0.02,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.89,0.2178,2.6136
17412,MILC1R      132.00,17430,MILC3-      33.000,2,,,,,,1,1,1,17430,0,0,17430,19,Voltage,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.0078,0.2483,60,60,60,0,0,1,1,0,1,0,1,0,1,100,1,0,30,1,0,1.1,0.8,1.03,0.98,0,0,0,0,0.0078,0.2483,,,"6 - No series path, ground winding 1, earth winding 2",,Z pu (system base),Z pu (system base),4.29,0,0.0077,0.2483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.24,1.341648,43.263792
17413,MILC1S      132.00,17430,MILC3-      33.000,3,,,,,,1,1,1,17430,0,0,17430,17,Voltage,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.0088,0.2813,60,60,60,0,0,1,1,0,1,0,1,0,1,100,1.025,0,30,1,0,1.1,0.8,1.03,0.98,0,0,0,0,0.0088,0.2813,,,"6 - No series path, ground winding 1, earth winding 2",,Z pu (system base),Z pu (system base),4.89,0,0.0088,0.2813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.24,1.533312,49.013712
17511,MOSS1Q      132.00,17550,MOSS5-      11.000,1,,,,,,1,1,1,17550,0,0,17550,19,Voltage,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.01192,0.36847,30,30,30,0,0,1,1,0,1,0,1,0,1,100,1,0,30,1,0,1.1,0.8,1.03,0.98,0,0,0,0,0.01192,0.36847,,,"6 - No series path, ground winding 1, earth winding 2",,Z pu (system base),Z pu (system base),25.5,0,0.01043,0.3225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.24,1.8173232,56.1924
17512,MOSS1R      132.00,17550,MOSS5-      11.000,2,,,,,,1,1,1,17550,0,0,17550,19,Voltage,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.012267,0.36913,30,30,30,0,0,1,1,0,1,0,1,0,1,100,1,0,30,1,0,1.1,0.8,1.03,0.98,0,0,0,0,0.01227,0.36913,,,"6 - No series path, ground winding 1, earth winding 2",,Z pu (system base),Z pu (system base),25.5,0,0.01077,0.32415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.24,1.8765648,56.479896
17813,MYBS1S      132.00,17830,MYBS3J      33.000,1,,,,,,1,1,1,17830,0,0,17830,19,Voltage,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.005,0.25,120,120,120,0,0,1,1,0,1,0,1,0,1,100,1,132,30,1,33,1.15,0.85,1.03,0.98,0,0,0,0,0.005,0.25,,,"6 - No series path, ground winding 1, earth winding 2",,Z pu (system base),Z pu (system base),7,0,0.0047,0.235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.24,0.818928,40.9464
17813,MYBS1S      132.00,17831,MYBS3K      33.000,4,,,,,,1,1,1,17831,0,0,17831,19,Voltage,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.003837,0.2498,120,120,120,0,0,1,1,0,1,0,1,0,1,100,1,0,30,1,0,1.15,0.85,1.03,0.98,0,0,0,0,0.00384,0.2498,,,"6 - No series path, ground winding 1, earth winding 2",,Z pu (system base),Z pu (system base),7,0,0.00361,0.2348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.24,0.6290064,40.911552
17813,MYBS1S      132.00,17832,MYBS3M      33.000,7,,,,,,1,1,1,17832,0,0,17832,19,Voltage,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.002645,0.246069,120,120,120,0.00017,-0.00024,1,1,0,1,0,1,0,1,100,1,132,30,1,33,1.15,0.85,1.03,0.98,0,0,0,0,0.00265,0.24607,,,"6 - No series path, ground winding 1, earth winding 2",,Z pu (system base),Z pu (system base),6.99,0,0.00236,0.21903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.24,0.4112064,38.1637872
17814,MYBS1T      132.00,17830,MYBS3J      33.000,2,,,,,,1,1,1,17830,0,0,17830,19,Voltage,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.005,0.25,120,120,120,0,0,1,1,0,1,0,1,0,1,100,1,132,30,1,33,1.15,0.85,1.03,0.98,0,0,0,0,0.005,0.25,,,"6 - No series path, ground winding 1, earth winding 2",,Z pu (system base),Z pu (system base),7,0,0.0047,0.235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.24,0.818928,40.9464
17814,MYBS1T      132.00,17831,MYBS3K      33.000,5,,,,,,1,1,1,17831,0,0,17831,19,Voltage,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.003837,0.2498,120,120,120,0,0,1,1,0,1,0,1,0,1,100,1,0,30,1,0,1.15,0.85,1.03,0.98,0,0,0,0,0.00384,0.2498,,,"6 - No series path, ground winding 1, earth winding 2",,Z pu (system base),Z pu (system base),7,0,0.00361,0.2348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.24,0.6290064,40.911552
17814,MYBS1T      132.00,17837,MYBS3N      33.000,6,,,,,,1,1,1,17837,0,0,17837,19,Voltage,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.002578,0.24757,120,120,120,0.00017,-0.00024,1,1,0,1,0,1,0,1,100,1,132,30,1,33,1.15,0.85,1.03,0.98,0,0,0,0,0.00258,0.24757,,,"6 - No series path, ground winding 1, earth winding 2",,Z pu (system base),Z pu (system base),6.99,0,0.00229,0.21972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.24,0.3990096,38.2840128
17833,CAUS3J      33.000,17883,CAUS8J      0.7000,1,,,,,,1,1,1,0,0,0,,181,None,0,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.02,0.2,32,32,32,0,0,1,1,0,1,0,1,0,1,100,1,0,0,1,0,1.1458,0.8459,1.01,0.98,0,0,0,0,0.02,0.2,,,4 - No series or ground paths,,Z pu (system base),Z pu (system base),0,0,0.02,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.89,0.2178,2.178
17834,CAUS3K      33.000,17884,CAUS8K      0.7000,1,,,,,,1,1,1,0,0,0,,181,None,0,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.02,0.2,32,32,32,0,0,1,1,0,1,0,1,0,1,100,1,0,0,1,0,1.1458,0.8459,1.01,0.98,0,0,0,0,0.02,0.2,,,4 - No series or ground paths,,Z pu (system base),Z pu (system base),0,0,0.02,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.89,0.2178,2.178
17835,BUWH3-      33.000,17885,BUWH8-      0.7000,1,,,,,,1,1,1,0,0,0,,33,None,0,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.02,0.2,32,32,32,0,0,1,1,0,1,0,1,0,1,100,1,0,0,1,0,1.1,0.9,1.1,0.9,0,0,0,0,0.02,0.2,,,4 - No series or ground paths,,Z pu (system base),Z pu (system base),0,0,0.02,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.89,0.2178,2.178
17838,CAMW3W      33.000,17888,CAMW8-      0.7000,1,,,,,,1,1,1,0,0,0,,19,None,0,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.01,0.1,90,90,90,0,0,1,1,0,1,0,1,0,1,100,1,0,0,1,0,1.15,0.85,1.03,0.98,0,0,0,0,0.01,0.1,,,4 - No series or ground paths,,Z pu (system base),Z pu (system base),0,0,0.01,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.89,0.1089,1.089
17911,NAIR1Q      132.00,17930,NAIR3-      33.000,1,,,,,,1,1,1,17930,0,0,17930,19,Voltage,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.0106,0.286,60,60,60,0,0,1,1,0,1,0,1,0,1,100,0.9833,0,30,1,0,1.1,0.8,1.03,0.98,0,0,0,0,0.0106,0.286,,,"6 - No series path, ground winding 1, earth winding 2",,Z pu (system base),Z pu (system base),4.95,0,0.0106,0.286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.24,1.846944,49.83264
17912,NAIR1R      132.00,17930,NAIR3-      33.000,2,,,,,,1,1,1,17930,0,0,17930,19,Voltage,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.0105,0.286,60,60,60,0,0,1,1,0,1,0,1,0,1,100,0.9833,0,30,1,0,1.1,0.8,1.03,0.98,0,0,0,0,0.0105,0.286,,,"6 - No series path, ground winding 1, earth winding 2",,Z pu (system base),Z pu (system base),4.95,0,0.0105,0.286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.24,1.82952,49.83264
18011,NANT1Q      132.00,18050,NANT5-      11.000,1,GT1_14,,,,,1,1,1,18050,0,0,18050,19,Voltage,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.0147,0.5667,30,30,30,0,0,1,1,0,1,0,1,0,1,100,1,132,30,1,11,1.1,0.8,1.03,0.98,0,0,0,0,0.0147,0.5667,YNd1,,"6 - No series path, ground winding 1, earth winding 2",,Z pu (system base),Z pu (system base),25,0,0.02,0.5667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.24,3.4848,98.741808
18111,ORRI1Q      132.00,18130,ORRI3-      33.000,1,,,,,,1,1,1,18130,0,0,18130,19,Voltage,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.00564,0.16824,60,60,60,0,0,1,1,0,1,0,1,0,1,100,1,0,30,1,0,1.1,0.9,1.03,0.98,0,0,0,0,0.00564,0.16824,,,"6 - No series path, ground winding 1, earth winding 2",,Z pu (system base),Z pu (system base),7,0,0.0054,0.16124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.24,0.940896,28.0944576
18112,ORRI1R      132.00,18150,ORRI5-      11.000,1,,,,,,1,1,1,18150,0,0,18150,11,Voltage,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.0217,0.4875,20,20,20,0,0,1,1,0,1,0,1,0,1,100,1,0,30,1,0,1.15,1,1.03,0.98,0,0,0,0,0.0217,0.4875,,,"6 - No series path, ground winding 1, earth winding 2",,Z pu (system base),Z pu (system base),0,0,0.0217,0.4875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.24,3.781008,84.942
18136,FAWI3W      33.000,18186,FAWI8-      0.7000,1,,,,,,1,1,1,0,0,0,,19,None,0,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.02,0.2,50,50,50,0,0,1,1,0,1,0,1,0,1,100,1,0,0,1,0,1.1458,0.8459,1.01,0.98,0,0,0,0,0.02,0.2,,,4 - No series or ground paths,,Z pu (system base),Z pu (system base),0,0,0.02,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.89,0.2178,2.178
18201,PEHE0J      23.500,18223,PEHE2S      275.00,1,,,,,,1,1,1,18201,1,0,18201,19,Voltage,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.0002,0.0193,776,776,776,0,0,1,1,0,1,0,1,0,1,100,1.0018,0,30,1,0,1.1918,0.8809,1.02,0.98,0,0,0,0,0.0002,0.0193,,,"2 - No series path, ground winding 1",,Z pu (system base),Z pu (system base),0,0,0.0002,0.0193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5225,0.0011045,0.10658425
18202,PEHE0K      23.500,18224,PEHE2T      275.00,2,,,,,,0,1,1,18202,1,0,18202,19,Voltage,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.0002,0.0194,776,776,776,0,0,1,1,0,1,0,1,0,1,100,1.0018,0,30,1,0,1.1918,0.8809,1.02,0.98,0,0,0,0,0.0002,0.0194,,,"2 - No series path, ground winding 1",,Z pu (system base),Z pu (system base),0,0,0.0002,0.0194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5225,0.0011045,0.1071365
18205,PEHE0L      15.750,18225,PEHE2U      275.00,5,,,,,,1,1,1,18205,1,0,18205,19,Voltage,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.00097,0.048,313,313,313,0,0,1,1,0,1,0,1,0,1,100,1.0017,0,30,1,0,1.2129,0.8961,1.02,0.98,0,0,0,0,0.00097,0.048,,,"2 - No series path, ground winding 1",,Z pu (system base),Z pu (system base),0,0,0.001,0.048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.480625,0.002480625,0.11907
18206,PEHE0M      15.750,18226,PEHE2V      275.00,6,,,,,,1,1,1,18206,1,0,18206,19,Voltage,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.00097,0.048,313,313,313,0,0,1,1,0,1,0,1,0,1,100,1.0017,0,30,1,0,1.2129,0.8961,1.02,0.98,0,0,0,0,0.00097,0.048,,,"2 - No series path, ground winding 1",,Z pu (system base),Z pu (system base),0,0,0.001,0.048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.480625,0.002480625,0.11907
18207,PEHE0N      15.750,18227,PEHE2W      275.00,7,,,,,,1,1,1,18207,1,0,18207,19,Voltage,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.00097,0.048,313,313,313,0,0,1,1,0,1,0,1,0,1,100,1.0017,0,30,1,0,1.2129,0.8961,1.02,0.98,0,0,0,0,0.00097,0.048,,,"2 - No series path, ground winding 1",,Z pu (system base),Z pu (system base),0,0,0.001,0.048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.480625,0.002480625,0.11907
18210,PEHE1-      132.00,21150,PEHS5-      11.000,1,,,,,,1,1,1,21150,0,0,21150,19,Voltage,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.0258,0.4233,15,15,15,0,0,1,1,0,1,0,1,0,1,100,1,0,30,1,0,1.1,0.8,1.03,0.98,0,0,0,0,0.0258,0.4233,,,"6 - No series path, ground winding 1, earth winding 2",,Z pu (system base),Z pu (system base),19.59,0,0.0258,0.4233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.24,4.495392,73.755792
18311,PEHG1Q      132.00,18330,PEHG3-      33.000,1,,,,,,1,1,1,18330,0,0,18330,19,Voltage,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.0105,0.2853,45,45,45,0,0,1,1,0,1,0,1,0,1,100,1,0,30,1,0,1.1,0.8,1.03,0.98,0,0,0,0,0.0105,0.2853,,,"6 - No series path, ground winding 1, earth winding 2",,Z pu (system base),Z pu (system base),26.22,0,0.0105,0.2853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.24,1.82952,49.710672
18312,PEHG1R      132.00,18330,PEHG3-      33.000,2,,,,,,1,1,1,18330,0,0,18330,19,Voltage,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.0105,0.284,45,45,45,0,0,1,1,0,1,0,1,0,1,100,1,0,30,1,0,1.1,0.8,1.03,0.98,0,0,0,0,0.0105,0.284,,,"6 - No series path, ground winding 1, earth winding 2",,Z pu (system base),Z pu (system base),26.22,0,0.0105,0.284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.24,1.82952,49.48416
18331,KRTO3-      33.000,18381,KRTO8-      0.4000,1,,,,,,0,1,1,0,0,0,,19,None,0,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.0075,0.15,40,40,40,0,0,1,1,0,1,0,1,0,1,40,1,33,0,1,0.4,1.15,0.85,1.03,0.98,0,0,0,0,0.0075,0.15,,,4 - No series or ground paths,,Z pu (system base),Z pu (system base),0,0,0.00705,0.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.225,0.19193625,3.838725
18411,PERS1Q      132.00,18430,PERS3-      33.000,1,,,,,,1,1,1,18430,0,0,18430,19,Voltage,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.00407,0.26975,90,90,90,0,0,1,1,0,1,0,1,0,1,100,1,0,30,1,0,1.1,0.9,1.03,0.98,0,0,0,0,0.00407,0.26975,,,"6 - No series path, ground winding 1, earth winding 2",,Z pu (system base),Z pu (system base),7,0,0.00373,0.24729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.24,0.6499152,43.0878096
18412,PERS1R      132.00,18430,PERS3-      33.000,2,,,,,,1,1,1,18430,0,0,18430,19,Voltage,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.00407,0.26975,90,90,90,0,0,1,1,0,1,0,1,0,1,100,1,0,30,1,0,1.1,0.9,1.03,0.98,0,0,0,0,0.00407,0.26975,,,"6 - No series path, ground winding 1, earth winding 2",,Z pu (system base),Z pu (system base),7,0,0.00373,0.24729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.24,0.6499152,43.0878096
18514,PORA1T      132.00,18530,PORA3-      33.000,2,,,,,,1,1,1,18530,0,0,18530,19,Voltage,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.01803,0.29812,30,30,30,0,0,1,1,0,1,0,1,0,1,100,1.0167,0,30,1,0,1.1,0.8,1,0.98,0,0,0,0,0.01803,0.29812,,,"6 - No series path, ground winding 1, earth winding 2",,Z pu (system base),Z pu (system base),8.25,0,0.01676,0.27716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.24,2.9202624,48.2923584
18515,PORA1U      132.00,18530,PORA3-      33.000,1,,,,,,1,1,1,18530,0,0,18530,19,Voltage,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.01803,0.29812,30,30,30,0,0,1,1,0,1,0,1,0,1,100,1.0167,0,30,1,0,1.1,0.8,1,0.98,0,0,0,0,0.01803,0.29812,,,"6 - No series path, ground winding 1, earth winding 2",,Z pu (system base),Z pu (system base),8.25,0,0.01676,0.27716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.24,2.9202624,48.2923584
18610,QUOI1-      132.00,18650,QUOI5-      11.000,1,,,,,,1,1,1,18650,0,0,18650,19,Voltage,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.0134,0.3313,30,30,30,0,0,1,1,0,1,0,1,0,1,100,1,0,30,1,0,1.1,0.8,1.03,0.98,0,0,0,0,0.0134,0.3313,,,"6 - No series path, ground winding 1, earth winding 2",,Z pu (system base),Z pu (system base),0,0,0.0134,0.3313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.24,2.334816,57.725712
18711,RANN1Q      132.00,18731,RANN3Q      33.000,1,,,,,,1,1,1,18731,0,0,18731,19,Voltage,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.0043,0.2466,90,90,90,0,0,1,1,0,1,0,1,0,1,100,1,132,30,1,33,1.1,0.8,1.03,0.98,0,0,0,0,0.0043,0.2466,,,"6 - No series path, ground winding 1, earth winding 2",,Z pu (system base),Z pu (system base),6.99,0,0.0041,0.2311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.24,0.714384,40.266864
18712,RANN1R      132.00,18731,RANN3Q      33.000,2,,,,,,1,1,1,18731,0,0,18731,19,Voltage,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.0043,0.2466,90,90,90,0,0,1,1,0,1,0,1,0,1,100,1,132,30,1,33,1.1,0.8,1.03,0.98,0,0,0,0,0.0043,0.2466,,,"6 - No series path, ground winding 1, earth winding 2",,Z pu (system base),Z pu (system base),6.99,0,0.0041,0.2311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.24,0.714384,40.266864
18731,RANN3Q      33.000,18750,RANN5-      11.000,1,,,,,,1,1,1,0,0,0,,19,None,0,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.01754,0.382,35,35,35,0,0,1,1,0,1,0,1,0,1,100,1,33,0,1,11,1.15,0.85,1.03,0.98,0,0,0,0,0.01754,0.382,Yy0,,4 - No series or ground paths,,Z pu (system base),Z pu (system base),0,0,0.0165,0.3591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.89,0.179685,3.910599
18731,RANN3Q      33.000,18750,RANN5-      11.000,2,,,,,,1,1,1,0,0,0,,19,None,0,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.01754,0.382,35,35,35,0,0,1,1,0,1,0,1,0,1,100,1,33,0,1,11,1.15,0.85,1.03,0.98,0,0,0,0,0.01754,0.382,Yy0,,4 - No series or ground paths,,Z pu (system base),Z pu (system base),0,0,0.0165,0.3591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.89,0.179685,3.910599
18811,REDM1Q      132.00,18830,REDM3-      33.000,1,,,,,,1,1,1,18830,0,0,18830,19,Voltage,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.0091,0.27,60,60,60,0,0,1,1,0,1,0,1,0,1,100,1,0,30,1,0,1.1,0.8,1.03,0.98,0,0,0,0,0.0091,0.27,,,"6 - No series path, ground winding 1, earth winding 2",,Z pu (system base),Z pu (system base),5.01,0,0.0091,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.24,1.585584,47.0448
